N° Certificado|Laboratorio|Nombre Comercial|Forma Farmacéutica|Presentación|Precio Venta al Público| (uso exclusivamente hospitalario - muestra médica - no venta al público)| (muestra médica - no venta al público)| (uso exclusivamente hospitalario - muestra médica)| (uso exclusivamente hospitalario - no venta al público)| (uso exclusivamente hospitalario)| (muestra médica)| (no venta al público)|GTIN|Genérico|Genérico[IFA,Cantidad,Unidad]
35702|ABBOTT LABORATORIES ARGENTINA S.A.|NORMORYTMIN |COMPRIMIDO RECUBIERTO| BLISTER por 20 UNIDADES |$2,940.40|0|0|0|0|0|0|0|07790440409619|PROPAFENONA 150 MG |[['PROPAFENONA', '150', 'MG']]
35278|ABBOTT LABORATORIES ARGENTINA S.A.|IRUXOL|UNGÜENTO DERMICO|1 ENVASE por 15 G |$3,586.42|0|0|0|0|0|0|0|07790440512012|CLORANFENICOL 1 G + COLAGENASA 60 UI |[['CLORANFENICOL', '1', 'G'], ['COLAGENASA', '60', 'UI']]
19134|ABBOTT LABORATORIES ARGENTINA S.A.|DAYAMINERAL|COMPRIMIDO FILMTAB|1 FRASCO por 30 UNIDADES |$3,590.93|0|0|0|0|0|0|0|07790440668306|VITAMINA D 1000 UI + MOLIBDENO 0.45 MG + VITAMINA B12 5 MCG + ACIDO FOLICO 0.25 MG + RIBOFLAVINA 10 ...|[['VITAMINA D', '1000', 'UI'], ['MOLIBDENO', '0.45', 'MG'], ['VITAMINA B12', '5', 'MCG'], ['ACIDO FOLICO', '0.25', 'MG'], ['RIBOFLAVINA', '10', 'MG'], ['PIRIDOXINA', '1.5', 'MG'], ['NICOTINAMIDA', '35', 'MG'], ['PANTOTENATO DE CALCIO', '5', 'MG'], ['ACIDO ASCORBICO', '150', 'MG'], ['POTASIO SULFATO', '11', 'MG'], ['SULFATO DE COBRE PENTAHIDRATO', '2.8', 'MG'], ['TIAMINA MONONITRATO', '10', 'MG'], ['VITAMINA A (COMO ACETATO)', '5000', 'UI'], ['SULFATO FERROSO HEPTAHIDRATADO', '34', 'MG'], ['FOSFATO BIBASICO DE CALCIO ANHIDRO', '339.45', 'MG'], ['IODATO DE CALCIO HEXAHIDRATADO', '0.201', 'MG'], ['SULFATO DE COBALTO HEPTAHIDRATADO', '0.49', 'MG'], ['SULFATO DE MANGANESO MONOHIDRATADO', '3', 'MG'], ['SULFATO DE MAGNESIO HEPTAHIDRATADO', '40', 'MG'], ['SULFATO DE ZINC HEPTAHIDRATADO', '3.9', 'MG']]
45021|ABBOTT LABORATORIES ARGENTINA S.A.|BETASERC 16 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$3,779.64|0|0|0|0|0|0|0|07790440508510|BETAHISTINA DICLORHIDRATO 16 MG |[['BETAHISTINA DICLORHIDRATO', '16', 'MG']]
38778|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID U.D|COMPRIMIDO DE LIBERACION MODIFICADA|1 BLISTER por 8 UNIDADES |$3,996.24|0|0|0|0|0|0|0|07790440429921|CLARITROMICINA 500 MG/COMPRIMIDO |[['CLARITROMICINA', '500', 'MG/COMPRIMIDO']]
38778|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID 500 MG|COMPRIMIDO| BLISTER por 8 UNIDADES |$4,141.25|0|0|0|0|0|0|0|07790440321416|CLARITROMICINA 500 MG |[['CLARITROMICINA', '500', 'MG']]
31804|ABBOTT LABORATORIES ARGENTINA S.A.|ISOPTINO RETARD|COMPRIMIDO RECUBIERTO DE LIBERACIÓN PROLONGADA| ENVASE por 20 UNIDADES |$4,220.34|0|0|0|0|0|0|0|07790440407813|VERAPAMILO CLORHIDRATO 120 MG |[['VERAPAMILO CLORHIDRATO', '120', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE 125 MG|COMPRIMIDO RECUBIERTO|1 FRASCO por 50 UNIDADES |$4,545.61|0|0|0|0|0|0|0|07790440621226|DIVALPROATO SODICO 134.55 MG |[['DIVALPROATO SODICO', '134.55', 'MG']]
47166|ABBOTT LABORATORIES ARGENTINA S.A.|DUSPATALIN|CAPSULA DE LIBERACION PROLONGADA| BLISTER por 20 UNIDADES |$4,750.12|0|0|0|0|0|0|0|08002660011794|MEBEVERINA CLORHIDRATO 200 MG |[['MEBEVERINA CLORHIDRATO', '200', 'MG']]
35746|ABBOTT LABORATORIES ARGENTINA S.A.|DEPAKENE|CAPSULA BLANDA|1 FRASCO por 50 UNIDADES |$4,837.32|0|0|0|0|0|0|0|07790440568118|ACIDO VALPROICO 250 MG |[['ACIDO VALPROICO', '250', 'MG']]
45021|ABBOTT LABORATORIES ARGENTINA S.A.|BETASERC 24 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$5,245.86|0|0|0|0|0|0|0|07790440508619|BETAHISTINA DICLORHIDRATO 24 MG |[['BETAHISTINA DICLORHIDRATO', '24', 'MG']]
35702|ABBOTT LABORATORIES ARGENTINA S.A.|NORMORYTMIN |COMPRIMIDO RECUBIERTO| BLISTER por 20 UNIDADES |$5,416.42|0|0|0|0|0|0|0|07790440409718|PROPAFENONA 300 MG |[['PROPAFENONA', '300', 'MG']]
55109|ABBOTT LABORATORIES ARGENTINA S.A.|DICETEL|COMPRIMIDO RECUBIERTO| BLISTER por 30 UNIDADES |$6,269.82|0|0|0|0|0|0|0|08002660011800|BROMURO DE PINAVERIO 100 MG |[['BROMURO DE PINAVERIO', '100', 'MG']]
35702|ABBOTT LABORATORIES ARGENTINA S.A.|NORMORYTMIN |COMPRIMIDO RECUBIERTO| BLISTER por 50 UNIDADES |$6,384.98|0|0|0|0|0|0|0|07790440409626|PROPAFENONA 150 MG |[['PROPAFENONA', '150', 'MG']]
38778|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID 500 MG|COMPRIMIDO| BLISTER por 16 UNIDADES |$6,835.31|0|0|0|0|0|0|0|07790440321423|CLARITROMICINA 500 MG |[['CLARITROMICINA', '500', 'MG']]
35278|ABBOTT LABORATORIES ARGENTINA S.A.|IRUXOL|UNGÜENTO DERMICO|1 ENVASE por 30 G |$6,963.87|0|0|0|0|0|0|0|07790440512029|CLORANFENICOL 1 G + COLAGENASA 60 UI |[['CLORANFENICOL', '1', 'G'], ['COLAGENASA', '60', 'UI']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE SPRINKLE|CAPSULA| ENVASE por 50 UNIDADES |$7,085.26|0|0|0|0|0|0|0|07790440120446|DIVALPROATO SODICO 134.5 MG |[['DIVALPROATO SODICO', '134.5', 'MG']]
59320|ABBOTT LABORATORIES ARGENTINA S.A.|INFLUVAC TETRA|SUSPENSION INYECTABLE|1 JERINGA PRELLENADA por 0.5 ML |$7,366.51|0|0|0|0|0|0|0|08002660035653|A/SYDNEY/5/2021 (H1N1)PDM09 - CEPA DERIVADA USADA (A/SYDNEY/5/2021, SAN013) 15 MCG HEMAGLUTININA/DOS...|[['A/SYDNEY/5/2021 (H1N1)PDM09 - CEPA DERIVADA USADA (A/SYDNEY/5/2021, SAN013)', '15', 'MCG HEMAGLUTININA/DOSIS'], ['A/DARWIN/9/2021 (H3N2) - CEPA DERIVADA USADA (A/DARWIN/9/2021, SAN-010)', '15', 'MCG HEMAGLUTININA/DOSIS'], ['B/AUSTRIA/1359417/2021 -  CEPA DERIVADA USADA (B/AUSTRIA/1359417/2021, BVR-26)', '15', 'MCG HEMAGLUTININA/DOSIS'], ['B/PHUKET/3073/2013 - CEPA DERIVADA USADA (B/PHUKET/3073/2013, WILD TYPE)', '15', 'MCG HEMAGLUTININA/DOSIS']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE 250 MG|COMPRIMIDO RECUBIERTO| FRASCO por 50 UNIDADES |$7,575.13|0|0|0|0|0|0|0|07790440621424|DIVALPROATO SODICO 269.06 MG |[['DIVALPROATO SODICO', '269.06', 'MG']]
55154|ABBOTT LABORATORIES ARGENTINA S.A.|CONTROLIP|CAPSULA| BLISTER por 30 UNIDADES |$8,416.30|0|0|0|0|0|0|0|07790440207628|FENOFIBRATO MICRONIZADO 160 MG |[['FENOFIBRATO MICRONIZADO', '160', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE ER 250|COMPRIMIDO DE LIBERACION CONTROLADA|1 FRASCO por 50 UNIDADES |$8,814.50|0|0|0|0|0|0|0|07790440382622|DIVALPROATO SODICO 269.1 MG |[['DIVALPROATO SODICO', '269.1', 'MG']]
57022|ABBOTT LABORATORIES ARGENTINA S.A.|LUVOX |COMPRIMIDO RECUBIERTO| BLISTER por 30 UNIDADES |$8,950.88|0|0|0|0|0|0|0|08002660010728|FLUVOXAMINA MALEATO 100 MG |[['FLUVOXAMINA MALEATO', '100', 'MG']]
31804|ABBOTT LABORATORIES ARGENTINA S.A.|ISOPTINO MD|COMPRIMIDO RECUBIERTO DE LIBERACIÓN PROLONGADA| ENVASE por 30 UNIDADES |$9,739.37|0|0|0|0|0|0|0|07790440408117|VERAPAMILO CLORHIDRATO 240 MG |[['VERAPAMILO CLORHIDRATO', '240', 'MG']]
46634|ABBOTT LABORATORIES ARGENTINA S.A.|TIADYL 8 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$9,919.54|0|0|0|0|0|0|0|07790440450628|CANDESARTAN CILEXETIL 8 MG |[['CANDESARTAN CILEXETIL', '8', 'MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 10000|CAPSULA|1 FRASCO por 100 UNIDADES |$10,132.46|0|0|0|0|0|0|0|07790440531327|AMILASA 8000 U PH EUR + LIPASA 10000 U PH EUR + PROTEASA 600 U PH EUR |[['AMILASA', '8000', 'U PH EUR'], ['LIPASA', '10000', 'U PH EUR'], ['PROTEASA', '600', 'U PH EUR']]
35278|ABBOTT LABORATORIES ARGENTINA S.A.|IRUXOL|UNGÜENTO DERMICO|1 ENVASE por 50 G |$11,288.49|0|0|0|0|0|0|0|07790440512036|CLORANFENICOL 1 G + COLAGENASA 60 UI |[['CLORANFENICOL', '1', 'G'], ['COLAGENASA', '60', 'UI']]
35702|ABBOTT LABORATORIES ARGENTINA S.A.|NORMORYTMIN |COMPRIMIDO RECUBIERTO| BLISTER por 50 UNIDADES |$11,706.76|0|0|0|0|0|0|0|07790440409725|PROPAFENONA 300 MG |[['PROPAFENONA', '300', 'MG']]
55109|ABBOTT LABORATORIES ARGENTINA S.A.|DICETEL|COMPRIMIDO RECUBIERTO| BLISTER por 60 UNIDADES |$12,133.10|0|0|0|0|0|0|0|08002660011817|BROMURO DE PINAVERIO 100 MG |[['BROMURO DE PINAVERIO', '100', 'MG']]
59342|ABBOTT LABORATORIES ARGENTINA S.A.|RIVACRIST|COMPRIMIDO RECUBIERTO| BLISTER por 15 UNIDADES |$13,152.79|0|0|0|0|0|0|0|07790440127612|RIVAROXABAN 10 MG |[['RIVAROXABAN', '10', 'MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 10000|CAPSULA|1 FRASCO por 50 UNIDADES |$13,451.63|0|0|0|0|0|0|0|07790440531310|AMILASA 8000 U PH EUR + LIPASA 10000 U PH EUR + PROTEASA 600 U PH EUR |[['AMILASA', '8000', 'U PH EUR'], ['LIPASA', '10000', 'U PH EUR'], ['PROTEASA', '600', 'U PH EUR']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE 500 MG|COMPRIMIDO RECUBIERTO| FRASCO por 50 UNIDADES |$13,550.60|0|0|0|0|0|0|0|07790440621523|DIVALPROATO SODICO 538.1 MG |[['DIVALPROATO SODICO', '538.1', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE SPRINKLE|CAPSULA| ENVASE por 100 UNIDADES |$13,568.40|0|0|0|0|0|0|0|07790440120453|DIVALPROATO SODICO 134.5 MG |[['DIVALPROATO SODICO', '134.5', 'MG']]
49917|ABBOTT LABORATORIES ARGENTINA S.A.|TIADYL PLUS|COMPRIMIDO| BLISTER por 30 UNIDADES |$15,299.27|0|0|0|0|0|0|0|07790440496725|HIDROCLOROTIAZIDA 12.5 MG + CANDESARTAN CILEXETIL 16 MG |[['HIDROCLOROTIAZIDA', '12.5', 'MG'], ['CANDESARTAN CILEXETIL', '16', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE ER 500 |COMPRIMIDO DE LIBERACION CONTROLADA|1 FRASCO por 50 UNIDADES |$15,545.61|0|0|0|0|0|0|0|07790440712627|DIVALPROATO SODICO 538.1 MG |[['DIVALPROATO SODICO', '538.1', 'MG']]
46634|ABBOTT LABORATORIES ARGENTINA S.A.|TIADYL 16 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$17,243.42|0|0|0|0|0|0|0|07790440450727|CANDESARTAN CILEXETIL 16 MG |[['CANDESARTAN CILEXETIL', '16', 'MG']]
59342|ABBOTT LABORATORIES ARGENTINA S.A.|RIVACRIST|COMPRIMIDO RECUBIERTO| BLISTER por 30 UNIDADES |$18,106.70|0|0|0|0|0|0|0|07790440127728|RIVAROXABAN 15 MG |[['RIVAROXABAN', '15', 'MG']]
59342|ABBOTT LABORATORIES ARGENTINA S.A.|RIVACRIST|COMPRIMIDO RECUBIERTO| BLISTER por 30 UNIDADES |$19,028.77|0|0|0|0|0|0|0|07790440127834|RIVAROXABAN 20 MG |[['RIVAROXABAN', '20', 'MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 50 UNIDADES |$21,870.72|0|0|0|0|0|0|0|07790440512425|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 10000|CAPSULA|1 FRASCO por 100 UNIDADES |$24,327.33|0|0|0|0| (uso exclusivamente hospitalario)|0|0|08002660011770|AMILASA 8000 U PH EUR + LIPASA 10000 U PH EUR + PROTEASA 600 U PH EUR |[['AMILASA', '8000', 'U PH EUR'], ['LIPASA', '10000', 'U PH EUR'], ['PROTEASA', '600', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 5000|MICROESFERAS GASTRORRESISTENTES|1 FRASCO por 20 G + cuchara dosificadora|$39,016.78|0|0|0|0|0|0|0|08002660028976|PANCREATINA 60.12 MG / 100 MG |[['PANCREATINA', '60.12', 'MG / 100 MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 100 UNIDADES |$39,411.60|0|0|0|0|0|0|0|07790440512432|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
45021|ABBOTT LABORATORIES ARGENTINA S.A.|BETASERC 8 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$335,292.00|0|0|0|0|0|0|0|07790440508718|BETAHISTINA DICLORHIDRATO 8 MG |[['BETAHISTINA DICLORHIDRATO', '8', 'MG']]
57022|ABBOTT LABORATORIES ARGENTINA S.A.|LUVOX |COMPRIMIDO RECUBIERTO| BLISTER por 60 UNIDADES ||0|0|0|0|0|0|0|08002660039934|FLUVOXAMINA MALEATO 100 MG |[['FLUVOXAMINA MALEATO', '100', 'MG']]
48481|ABBOTT LABORATORIES ARGENTINA S.A.|INFLUVAC|SUSPENSION INYECTABLE|1 JERINGA PRELLENADA por 0.5 ML (Licitación Ministerio de Salud)||0|0|0|0|0|0| (no venta al público)||A/SYDNEY/5/2021 (H1N1)PDM09 - CEPA DERIVADA USADA (A/SYDNEY/5/2021, SAN013) 15 MCG HEMAGLUTININA/DOS...|[['A/SYDNEY/5/2021 (H1N1)PDM09 - CEPA DERIVADA USADA (A/SYDNEY/5/2021, SAN013)', '15', 'MCG HEMAGLUTININA/DOSIS'], ['A/DARWIN/9/2021 (H3N2) - CEPA DERIVADA USADA (A/DARWIN/9/2021, SAN-010)', '15', 'MCG HEMAGLUTININA/DOSIS'], ['B/AUSTRIA/1359417/2021 -  CEPA DERIVADA USADA (B/AUSTRIA/1359417/2021, BVR-26)', '15', 'MCG HEMAGLUTININA/DOSIS']]
51289|AIR LIQUIDE ARGENTINA S A|NITROGENO MEDICINAL.|GAS MEDICINAL|1 CILINDRO METALICO por 6 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||NITROGENO 99.5 % V/V |[['NITROGENO', '99.5', '% V/V']]
51289|AIR LIQUIDE ARGENTINA S A|NITROGENO MEDICINAL.|GAS MEDICINAL|1 CILINDRO METALICO por 10 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||NITROGENO 99.5 % V/V |[['NITROGENO', '99.5', '% V/V']]
51288|AIR LIQUIDE ARGENTINA S A|AIRE SINTETICO MEDICINAL|GAS MEDICINAL|1 CILINDRO METALICO por 1 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 20.9 % V/V |[['OXIGENO', '20.9', '% V/V']]
51288|AIR LIQUIDE ARGENTINA S A|AIRE SINTETICO MEDICINAL|GAS MEDICINAL|1 CILINDRO METALICO por 5.5 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 20.9 % V/V |[['OXIGENO', '20.9', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL|1 TERMO CRIOGENICO por 150.28 LITROS ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL|1 TERMO CRIOGENICO por 32 LITROS (Liquido criogénico).||0|0|0|0|0|0| (no venta al público)||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
51222|AIR LIQUIDE ARGENTINA S A|DIOXIDO DE CARBONO MEDICINAL|GAS MEDICINAL|1 CILINDRO METALICO por 25 KG ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||DIOXIDO DE CARBONO 99.5 % |[['DIOXIDO DE CARBONO', '99.5', '%']]
51222|AIR LIQUIDE ARGENTINA S A|DIOXIDO DE CARBONO MEDICINAL|GAS MEDICINAL|1 CILINDRO METALICO por 27 KG ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||DIOXIDO DE CARBONO 99.5 % |[['DIOXIDO DE CARBONO', '99.5', '%']]
56426|AIR LIQUIDE ARGENTINA S A|KINOX|GAS MEDICINAL|1 CILINDRO METALICO por 5 M3 llenado a 200 BAR que proveen 0,94 M3 a 15°C.||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIDO NITRICO 450 PPM |[['OXIDO NITRICO', '450', 'PPM']]
56426|AIR LIQUIDE ARGENTINA S A|KINOX|GAS MEDICINAL|1 CILINDRO METALICO por 20 M3 llenado a 200 BAR que proveen 3,8 M3 a 15°C.||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIDO NITRICO 450 PPM |[['OXIDO NITRICO', '450', 'PPM']]
51289|AIR LIQUIDE ARGENTINA S A|NITROGENO MEDICINAL.|GAS MEDICINAL|1 TERMO CRIOGENICO por 160 LITROS ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||NITROGENO 99.5 % V/V |[['NITROGENO', '99.5', '% V/V']]
51289|AIR LIQUIDE ARGENTINA S A|NITROGENO MEDICINAL.|GAS MEDICINAL|1 TERMO CRIOGENICO por 180 LITROS ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||NITROGENO 99.5 % V/V |[['NITROGENO', '99.5', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL|1 CILINDRO METALICO por 1.06 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL|1 CILINDRO METALICO por 4.2 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL|1 CILINDRO METALICO por 6.4 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL|1 CILINDRO METALICO por 8.5 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL| CISTERNA por 16000 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL| CISTERNA por 18000 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
52149|AIR LIQUIDE ARGENTINA S A|PROTOXIDO DE NITROGENO MEDICINAL|GAS MEDICINAL|1 CILINDRO METALICO por 27 KG ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIDO NITROSO 98 % V/V |[['OXIDO NITROSO', '98', '% V/V']]
52149|AIR LIQUIDE ARGENTINA S A|PROTOXIDO DE NITROGENO MEDICINAL|GAS MEDICINAL|1 CILINDRO METALICO por 25 KG ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIDO NITROSO 98 % V/V |[['OXIDO NITROSO', '98', '% V/V']]
52149|AIR LIQUIDE ARGENTINA S A|PROTOXIDO DE NITROGENO MEDICINAL|GAS MEDICINAL| CILINDRO METALICO por 4 KG  A 40 KG - RANGO DE CARGA DE CILINDROS DE PROPIEDAD DE ESTABLECIMIENTOS HOSPITALARIOS. ||0|0|0|0|0|0|0||OXIDO NITROSO 98 % V/V |[['OXIDO NITROSO', '98', '% V/V']]
34127|ALCON LABORATORIOS ARGENTINA S A|MIRUS|SOLUCION OFTALMICA ESTERIL|1 FRASCO GOTERO por 15 ML |$2,228.61|0|0|0|0|0|0|0|07792086057803|NAFAZOLINA CLORHIDRATO 0.025 G / 100 ML + FENIRAMINA MALEATO 0.3 G / 100 ML |[['NAFAZOLINA CLORHIDRATO', '0.025', 'G / 100 ML'], ['FENIRAMINA MALEATO', '0.3', 'G / 100 ML']]
